track,subset,measure,n,mean_auto,mean_manual,pearson_r,pearson_p,spearman_rho,spearman_p,icc_2_1,bias,mae
vad,Overall,PR,40,0.1524,0.1549,0.984,7.407540371961743e-30,0.978,2.5587176079048928e-27,0.978,-0.0025,0.0086
vad,Overall,MCPD,40,0.893,0.752,0.955,1.352766131047006e-21,0.902,2.0644156557840356e-15,0.878,0.141,0.151
vad,Overall,ECPD,40,1.9608,1.7399,0.942,1.301355142447776e-19,0.902,1.926195611675344e-15,0.884,0.2209,0.2313
vad,Overall,MPD,40,1.437,1.261,0.948,1.5417652580470702e-20,0.876,1.439791161392217e-13,0.88,0.176,0.1841
vad,ST1,AR,20,5.1296,4.9131,0.965,7.01521566096983e-12,0.965,5.932418372864708e-12,0.922,0.2165,0.2265
vad,ST1,SR,20,2.5691,2.6544,0.993,5.1130035753330104e-18,0.989,1.450570213696417e-16,0.986,-0.0853,0.1007
vad,ST1,MLR,20,7.5715,7.7845,0.997,2.798772099927422e-21,0.987,8.313955323796159e-16,0.988,-0.213,0.348
vad,ST1,MCPR,20,0.0745,0.0753,0.895,9.734306442942894e-08,0.884,2.3175269783488693e-07,0.898,-0.0008,0.0093
vad,ST1,ECPR,20,0.0729,0.0751,0.872,5.520037629106546e-07,0.838,4.074490008859048e-06,0.861,-0.0022,0.0086
vad,ST1,PR,20,0.1474,0.1503,0.987,8.94221067606083e-16,0.986,1.3775681209191945e-15,0.982,-0.0029,0.0071
vad,ST1,MCPD,20,0.8542,0.7326,0.959,2.943000528972806e-11,0.863,9.62152319092783e-07,0.877,0.1216,0.1295
vad,ST1,ECPD,20,2.1233,1.8794,0.932,2.4457941622963047e-09,0.932,2.206697206858682e-09,0.865,0.2439,0.2495
vad,ST1,MPD,20,1.4835,1.3146,0.957,3.85067062288223e-11,0.913,2.0141858270661944e-08,0.889,0.1689,0.1737
vad,ST2,AR,20,4.9747,4.7761,0.929,3.2184900835523313e-09,0.911,2.3360131773309553e-08,0.886,0.1987,0.2571
vad,ST2,SR,20,2.5572,2.6838,0.993,6.224573983139365e-18,0.976,2.3519202099227064e-13,0.979,-0.1265,0.1315
vad,ST2,MLR,20,7.1485,7.5055,0.986,1.6468100996338701e-15,0.955,6.237876047979233e-11,0.961,-0.357,0.572
vad,ST2,MCPR,20,0.0767,0.0781,0.925,5.331525746205309e-09,0.925,5.539165176617526e-09,0.928,-0.0014,0.0094
vad,ST2,ECPR,20,0.0806,0.0813,0.921,8.178868284862152e-09,0.892,1.302957014504241e-07,0.921,-0.0007,0.0077
vad,ST2,PR,20,0.1573,0.1594,0.981,2.720095367217147e-14,0.927,4.274449801635999e-09,0.977,-0.0021,0.0101
vad,ST2,MCPD,20,0.9318,0.7714,0.953,8.715211883690237e-11,0.92,9.20256433443776e-09,0.882,0.1604,0.1725
vad,ST2,ECPD,20,1.7983,1.6004,0.947,2.7521183516642624e-10,0.88,3.2136697448460926e-07,0.896,0.1978,0.2132
vad,ST2,MPD,20,1.3906,1.2074,0.94,7.577771716715153e-10,0.872,5.3897404423302e-07,0.875,0.1832,0.1946
vad_classifier,Overall,AR,40,5.0522,4.8446,0.947,2.4300196452009856e-20,0.935,1.1610345303877205e-18,0.903,0.2076,0.2418
vad_classifier,Overall,SR,40,2.5632,2.6691,0.992,6.3862602640173e-36,0.988,1.9663246396683363e-32,0.982,-0.1059,0.1161
vad_classifier,Overall,MLR,40,7.36,7.645,0.991,2.26106233004955e-34,0.987,1.5979551013115778e-31,0.975,-0.285,0.46
vad_classifier,Overall,MCPR,40,0.0756,0.0767,0.912,2.552282024262276e-16,0.933,1.792177906532518e-18,0.913,-0.0011,0.0093
vad_classifier,Overall,ECPR,40,0.0768,0.0782,0.903,1.5602113464646054e-15,0.883,4.957345813841618e-14,0.898,-0.0014,0.0082
vad_classifier,Overall,PR,40,0.1524,0.1549,0.984,7.407540371961743e-30,0.978,2.5587176079048928e-27,0.978,-0.0025,0.0086
vad_classifier,Overall,MCPD,40,0.893,0.752,0.955,1.352766131047006e-21,0.902,2.0644156557840356e-15,0.878,0.141,0.151
vad_classifier,Overall,ECPD,40,1.9608,1.7399,0.942,1.301355142447776e-19,0.902,1.926195611675344e-15,0.884,0.2209,0.2313
vad_classifier,Overall,MPD,40,1.437,1.261,0.948,1.5417652580470702e-20,0.876,1.439791161392217e-13,0.88,0.176,0.1841
vad_classifier,ST1,AR,20,5.1296,4.9131,0.965,7.01521566096983e-12,0.965,5.932418372864708e-12,0.922,0.2165,0.2265
vad_classifier,ST1,SR,20,2.5691,2.6544,0.993,5.1130035753330104e-18,0.989,1.450570213696417e-16,0.986,-0.0853,0.1007
vad_classifier,ST1,MLR,20,7.5715,7.7845,0.997,2.798772099927422e-21,0.987,8.313955323796159e-16,0.988,-0.213,0.348
vad_classifier,ST1,MCPR,20,0.0745,0.0753,0.895,9.734306442942894e-08,0.884,2.3175269783488693e-07,0.898,-0.0008,0.0093
vad_classifier,ST1,ECPR,20,0.0729,0.0751,0.872,5.520037629106546e-07,0.838,4.074490008859048e-06,0.861,-0.0022,0.0086
vad_classifier,ST1,PR,20,0.1474,0.1503,0.987,8.94221067606083e-16,0.986,1.3775681209191945e-15,0.982,-0.0029,0.0071
vad_classifier,ST1,MCPD,20,0.8542,0.7326,0.959,2.943000528972806e-11,0.863,9.62152319092783e-07,0.877,0.1216,0.1295
vad_classifier,ST1,ECPD,20,2.1233,1.8794,0.932,2.4457941622963047e-09,0.932,2.206697206858682e-09,0.865,0.2439,0.2495
vad_classifier,ST1,MPD,20,1.4835,1.3146,0.957,3.85067062288223e-11,0.913,2.0141858270661944e-08,0.889,0.1689,0.1737
vad_classifier,ST2,AR,20,4.9747,4.7761,0.929,3.2184900835523313e-09,0.911,2.3360131773309553e-08,0.886,0.1987,0.2571
vad_classifier,ST2,SR,20,2.5572,2.6838,0.993,6.224573983139365e-18,0.976,2.3519202099227064e-13,0.979,-0.1265,0.1315
vad_classifier,ST2,MLR,20,7.1485,7.5055,0.986,1.6468100996338701e-15,0.955,6.237876047979233e-11,0.961,-0.357,0.572
vad_classifier,ST2,MCPR,20,0.0767,0.0781,0.925,5.331525746205309e-09,0.925,5.539165176617526e-09,0.928,-0.0014,0.0094
vad_classifier,ST2,ECPR,20,0.0806,0.0813,0.921,8.178868284862152e-09,0.892,1.302957014504241e-07,0.921,-0.0007,0.0077
vad_classifier,ST2,PR,20,0.1573,0.1594,0.981,2.720095367217147e-14,0.927,4.274449801635999e-09,0.977,-0.0021,0.0101
vad_classifier,ST2,MCPD,20,0.9318,0.7714,0.953,8.715211883690237e-11,0.92,9.20256433443776e-09,0.882,0.1604,0.1725
vad_classifier,ST2,ECPD,20,1.7983,1.6004,0.947,2.7521183516642624e-10,0.88,3.2136697448460926e-07,0.896,0.1978,0.2132
vad_classifier,ST2,MPD,20,1.3906,1.2074,0.94,7.577771716715153e-10,0.872,5.3897404423302e-07,0.875,0.1832,0.1946
